Time,Target,Cohort,Rhyme,Unrelated
0,0.003631535,0.003631535,0.003631535,0.003631535
33.3,0.020354084,0.020354084,0.018484606,0.018484606
66.7,0.041864888,0.041864888,0.027,0.027
100,0.077223326,0.077223326,0.032795901,0.032795901
133.3,0.124511115,0.10653417,0.038936296,0.038936296
166.7,0.174786046,0.14,0.042704492,0.04
200,0.233124527,0.16,0.058021226,0.038936296
233.3,0.302591879,0.174,0.065,0.038936296
266.7,0.382992755,0.18,0.07319162,0.035978325
300,0.456013462,0.167547481,0.082543747,0.029642719
333.3,0.535130667,0.146861523,0.091402833,0.027807423
366.7,0.60603788,0.12122127,0.098,0.02628945
400,0.67557353,0.096337635,0.1,0.022970296
433.3,0.738856525,0.071297775,0.095219833,0.021774451
466.7,0.796755709,0.051641691,0.089040382,0.019553605
500,0.828219051,0.036359071,0.082465635,0.015268
533.3,0.874569647,0.03010645,0.077096479,0.014618803
566.7,0.890769898,0.022448015,0.068671747,0.013139886
600,0.920500459,0.017435169,0.06,0.017435169
633.3,0.934465191,0.011123999,0.05127076,0.011123999
666.7,0.950514133,0.008224647,0.046950973,0.008224647
700,0.955614847,0.008004999,0.039414648,0.008004999
733.3,0.968242155,0.009088549,0.033440225,0.009088549
766.7,0.972605829,0.00834662,0.03,0.00834662
800,0.975754113,0.008283197,0.028,0.008283197
833.3,0.975754113,0.008283197,0.028,0.008283197
866.7,0.975754113,0.008283197,0.028,0.008283197
900,0.975754113,0.008283197,0.028,0.008283197
933.3,0.975754113,0.008283197,0.028,0.008283197
966.7,0.975754113,0.008283197,0.028,0.008283197
1000,0.975754113,0.008283197,0.028,0.008283197
