Time,Target,Cohort,Rhyme,Unrelated
0,0,0,0,0
3,0,0,0,0
6,0,0,0,0
9,0,0,0,0
12,0,0,0,0
15,0.007607871968,0.007607871968,0,0.007607871968
18,0.03350807032,0.03350807032,0,0.01
21,0.06703080041,0.06703080041,0,0.005
24,0.1125801948,0.1016900764,0,0.007607871968
27,0.1594865827,0.1367706831,0.01,0
30,0.2127467568,0.1581100244,0.015,0
33,0.2651594471,0.1776612589,0.02,0
36,0.3198207043,0.1891539574,0.03506098687,0
39,0.3731690575,0.1902953945,0.06040758583,0
42,0.4154901325,0.1790427773,0.07679911534,0
45,0.4511585769,0.1654043645,0.09453289604,0
48,0.4775584338,0.1396903756,0.1094008561,0
51,0.5031254116,0.1163767871,0.1163767871,0
54,0.5201783188,0.09418017965,0.1290696857,0
57,0.5372703555,0.07407534573,0.1302503212,0
60,0.5480624779,0.05346100197,0.1327095535,0
63,0.5570518545,0.03858325953,0.136197519,0
66,0.5601920293,0.0239063312,0.1309459716,0
69,0.5679811713,0.01436831527,0.1270072593,0
72,0.5698133331,0.01055208932,0.1288639804,0
75,0.5717238917,0.009993598749,0.1233233709,0
78,0.5733012986,0.004149322481,0.1217116224,0
81,0.575,0,0.1115416792,0
84,0.58,0,0.1096213038,0
87,0.58,0,0.1,0
90,0.59,0,0.09,0
93,0.59,0,0.08,0
96,0.60,0,0.06,0
99,0.60,0,0.04,0
102,0.60,0,0.02,0
