Time step,Item Type,Mean,SEM
0,Target,0.0,0.014425945627860239
1,Target,0.0,0.014425945627860239
2,Target,0.0,0.014425945627860239
3,Target,0.0,0.014425945627860239
4,Target,0.0,0.014425945627860239
5,Target,0.0,0.014425945627860239
6,Target,0.0,0.014425945627860239
7,Target,0.0,0.014425945627860239
8,Target,0.0,0.014425945627860239
9,Target,0.0,0.014425945627860239
10,Target,0.0,0.014425945627860239
11,Target,0.0,0.014425945627860239
12,Target,0.0,0.014425945627860239
13,Target,0.0,0.014425945627860239
14,Target,0.0,0.014425945627860239
15,Target,0.0,0.014425945627860239
16,Target,0.0,0.014425945627860239
17,Target,0.0,0.014425945627860239
18,Target,0.0,0.014425945627860239
19,Target,0.0,0.014425945627860239
20,Target,0.0,0.014425945627860239
21,Target,0.0,0.014425945627860239
22,Target,0.0,0.014425945627860239
23,Target,0.0,0.014425945627860239
24,Target,0.0,0.014425945627860239
25,Target,0.0,0.014425945627860239
26,Target,0.0,0.014425945627860239
27,Target,0.0,0.014425945627860239
28,Target,0.0,0.014425945627860239
29,Target,0.0,0.014425945627860239
30,Target,0.0,0.014425945627860239
31,Target,0.0,0.014425945627860239
32,Target,0.0,0.014425945627860239
33,Target,0.0,0.014425945627860239
34,Target,0.0,0.014425945627860239
35,Target,0.0,0.014425945627860239
36,Target,0.0,0.014425945627860239
37,Target,0.0,0.014425945627860239
38,Target,0.0,0.014425945627860239
39,Target,0.0,0.014425945627860239
40,Target,0.0,0.014425945627860239
41,Target,0.0,0.014425945627860239
42,Target,0.0,0.014425945627860239
43,Target,0.0,0.014425945627860239
44,Target,0.0,0.014425945627860239
45,Target,0.0,0.014425945627860239
46,Target,0.0,0.014425945627860239
47,Target,0.0,0.014425945627860239
48,Target,0.0,0.014425945627860239
49,Target,0.0,0.014425945627860239
50,Target,0.0,0.014425945627860239
51,Target,0.0,0.014425945627860239
52,Target,0.0,0.014425945627860239
53,Target,0.0,0.014425945627860239
54,Target,0.0,0.014425945627860239
55,Target,0.0,0.014425945627860239
56,Target,0.0,0.014425945627860239
57,Target,0.0,0.014425945627860239
58,Target,0.0,0.014425945627860239
59,Target,0.0,0.014425945627860239
60,Target,0.0,0.014425945627860239
61,Target,0.0008333333333333334,0.014425945627860239
62,Target,0.0008333333333333334,0.014425945627860239
63,Target,0.0008333333333333334,0.014425945627860239
64,Target,0.0008333333333333334,0.014425945627860239
65,Target,0.0016666666666666668,0.014425945627860239
66,Target,0.0016666666666666668,0.014425945627860239
67,Target,0.0016666666666666668,0.014425945627860239
68,Target,0.0016666666666666668,0.014425945627860239
69,Target,0.0016666666666666668,0.014425945627860239
70,Target,0.0016666666666666668,0.014425945627860239
71,Target,0.0016666666666666668,0.014425945627860239
72,Target,0.0016666666666666668,0.014425945627860239
73,Target,0.0016666666666666668,0.014425945627860239
74,Target,0.0016666666666666668,0.014425945627860239
75,Target,0.0016666666666666668,0.014425945627860239
76,Target,0.0016666666666666668,0.014425945627860239
77,Target,0.0016666666666666668,0.014425945627860239
78,Target,0.0016666666666666668,0.014425945627860239
79,Target,0.0016666666666666668,0.014425945627860239
80,Target,0.0016666666666666668,0.014425945627860239
81,Target,0.0016666666666666668,0.014425945627860239
82,Target,0.0025,0.014425945627860239
83,Target,0.0025,0.014425945627860239
84,Target,0.0025,0.014425945627860239
85,Target,0.0025,0.014425945627860239
86,Target,0.0025,0.014425945627860239
87,Target,0.0025,0.014425945627860239
88,Target,0.0025,0.014425945627860239
89,Target,0.0025,0.014425945627860239
90,Target,0.0025,0.014425945627860239
91,Target,0.0025,0.014425945627860239
92,Target,0.0025,0.014425945627860239
93,Target,0.0033333333333333335,0.014425945627860239
94,Target,0.004166666666666667,0.014425945627860239
95,Target,0.005,0.014425945627860239
96,Target,0.005,0.014425945627860239
97,Target,0.005,0.014425945627860239
98,Target,0.005,0.014425945627860239
99,Target,0.005,0.014425945627860239
100,Target,0.005,0.014425945627860239
101,Target,0.005,0.014425945627860239
102,Target,0.005,0.014425945627860239
103,Target,0.005,0.014425945627860239
104,Target,0.005833333333333334,0.014425945627860239
105,Target,0.005833333333333334,0.014425945627860239
106,Target,0.006666666666666667,0.014425945627860239
107,Target,0.006666666666666667,0.014425945627860239
108,Target,0.006666666666666667,0.014425945627860239
109,Target,0.006666666666666667,0.014425945627860239
110,Target,0.006666666666666667,0.014425945627860239
111,Target,0.006666666666666667,0.014425945627860239
112,Target,0.006666666666666667,0.014425945627860239
113,Target,0.0075,0.014425945627860239
114,Target,0.0075,0.014425945627860239
115,Target,0.0075,0.014425945627860239
116,Target,0.0075,0.014425945627860239
117,Target,0.0075,0.014425945627860239
118,Target,0.009166666666666667,0.014425945627860239
119,Target,0.009166666666666667,0.014425945627860239
120,Target,0.009166666666666667,0.014425945627860239
121,Target,0.009166666666666667,0.014425945627860239
122,Target,0.009166666666666667,0.014425945627860239
123,Target,0.009166666666666667,0.014425945627860239
124,Target,0.009166666666666667,0.014425945627860239
125,Target,0.010833333333333334,0.014425945627860239
126,Target,0.012499999999999999,0.014425945627860239
127,Target,0.012499999999999999,0.014425945627860239
128,Target,0.012499999999999999,0.014425945627860239
129,Target,0.012499999999999999,0.014425945627860239
130,Target,0.012499999999999999,0.014425945627860239
131,Target,0.012499999999999999,0.014425945627860239
132,Target,0.012499999999999999,0.014425945627860239
133,Target,0.012499999999999999,0.014425945627860239
134,Target,0.013333333333333334,0.014425945627860239
135,Target,0.014166666666666666,0.014425945627860239
136,Target,0.015,0.014425945627860239
137,Target,0.015833333333333335,0.014425945627860239
138,Target,0.016666666666666666,0.014425945627860239
139,Target,0.017499999999999998,0.014425945627860239
140,Target,0.018333333333333333,0.014425945627860239
141,Target,0.018333333333333333,0.014425945627860239
142,Target,0.02,0.014425945627860239
143,Target,0.020833333333333332,0.014425945627860239
144,Target,0.020833333333333332,0.014425945627860239
145,Target,0.020833333333333332,0.014425945627860239
146,Target,0.021666666666666667,0.014425945627860239
147,Target,0.022500000000000003,0.014425945627860239
148,Target,0.022500000000000003,0.014425945627860239
149,Target,0.023333333333333334,0.014425945627860239
150,Target,0.024166666666666666,0.014425945627860239
151,Target,0.024999999999999998,0.014425945627860239
152,Target,0.024999999999999998,0.014425945627860239
153,Target,0.02666666666666667,0.014425945627860239
154,Target,0.0275,0.014425945627860239
155,Target,0.0275,0.014425945627860239
156,Target,0.028333333333333335,0.014425945627860239
157,Target,0.03,0.014425945627860239
158,Target,0.03,0.014425945627860239
159,Target,0.03,0.014425945627860239
160,Target,0.03,0.014425945627860239
161,Target,0.030833333333333334,0.014425945627860239
162,Target,0.03333333333333333,0.014425945627860239
163,Target,0.03416666666666667,0.014425945627860239
164,Target,0.03416666666666667,0.014425945627860239
165,Target,0.035,0.014425945627860239
166,Target,0.035,0.014425945627860239
167,Target,0.035,0.014425945627860239
168,Target,0.035833333333333335,0.014425945627860239
169,Target,0.03666666666666667,0.014425945627860239
170,Target,0.03666666666666667,0.014425945627860239
171,Target,0.03666666666666667,0.014425945627860239
172,Target,0.03666666666666667,0.014425945627860239
173,Target,0.03916666666666667,0.014425945627860239
174,Target,0.03916666666666667,0.014425945627860239
175,Target,0.03916666666666667,0.014425945627860239
176,Target,0.03916666666666667,0.014425945627860239
177,Target,0.03916666666666667,0.014425945627860239
178,Target,0.03916666666666667,0.014425945627860239
179,Target,0.04083333333333333,0.014425945627860239
180,Target,0.0425,0.014425945627860239
181,Target,0.043333333333333335,0.014425945627860239
182,Target,0.04416666666666667,0.014425945627860239
183,Target,0.04583333333333334,0.014425945627860239
184,Target,0.04583333333333334,0.014425945627860239
185,Target,0.04583333333333334,0.014425945627860239
186,Target,0.04833333333333333,0.014425945627860239
187,Target,0.049166666666666664,0.014425945627860239
188,Target,0.051666666666666666,0.014425945627860239
189,Target,0.0525,0.014425945627860239
190,Target,0.0525,0.014425945627860239
191,Target,0.0525,0.014425945627860239
192,Target,0.05416666666666667,0.014425945627860239
193,Target,0.055,0.014425945627860239
194,Target,0.05833333333333334,0.014425945627860239
195,Target,0.06083333333333333,0.014425945627860239
196,Target,0.06083333333333333,0.014425945627860239
197,Target,0.0625,0.014425945627860239
198,Target,0.06333333333333334,0.014425945627860239
199,Target,0.06583333333333334,0.014425945627860239
200,Target,0.06833333333333334,0.014425945627860239
201,Target,0.06916666666666667,0.014425945627860239
202,Target,0.07083333333333333,0.014425945627860239
203,Target,0.0725,0.014425945627860239
204,Target,0.07333333333333333,0.014425945627860239
205,Target,0.075,0.014425945627860239
206,Target,0.07916666666666668,0.014425945627860239
207,Target,0.08083333333333333,0.014425945627860239
208,Target,0.08166666666666667,0.014425945627860239
209,Target,0.08666666666666667,0.014425945627860239
210,Target,0.08833333333333333,0.014425945627860239
211,Target,0.09000000000000001,0.014425945627860239
212,Target,0.09250000000000001,0.014425945627860239
213,Target,0.09666666666666666,0.014425945627860239
214,Target,0.09999999999999999,0.014425945627860239
215,Target,0.10416666666666667,0.014425945627860239
216,Target,0.10666666666666667,0.014425945627860239
217,Target,0.10833333333333334,0.014425945627860239
218,Target,0.10916666666666668,0.014425945627860239
219,Target,0.11166666666666668,0.014425945627860239
220,Target,0.1125,0.014425945627860239
221,Target,0.11333333333333334,0.014425945627860239
222,Target,0.115,0.014425945627860239
223,Target,0.11666666666666668,0.014425945627860239
224,Target,0.11666666666666668,0.014425945627860239
225,Target,0.11666666666666668,0.014425945627860239
226,Target,0.11833333333333333,0.014425945627860239
227,Target,0.1225,0.014425945627860239
228,Target,0.12333333333333334,0.014425945627860239
229,Target,0.12416666666666666,0.014425945627860239
230,Target,0.1275,0.014425945627860239
231,Target,0.12916666666666668,0.014425945627860239
232,Target,0.1325,0.014425945627860239
233,Target,0.13583333333333333,0.014425945627860239
234,Target,0.13833333333333334,0.014425945627860239
235,Target,0.14083333333333334,0.014425945627860239
236,Target,0.1475,0.014425945627860239
237,Target,0.15,0.014425945627860239
238,Target,0.15083333333333335,0.014425945627860239
239,Target,0.15166666666666667,0.014425945627860239
240,Target,0.15416666666666667,0.014425945627860239
241,Target,0.15583333333333335,0.014425945627860239
242,Target,0.15583333333333335,0.014425945627860239
243,Target,0.15833333333333335,0.014425945627860239
244,Target,0.16083333333333336,0.014425945627860239
245,Target,0.16333333333333333,0.014425945627860239
246,Target,0.165,0.014425945627860239
247,Target,0.16583333333333333,0.014425945627860239
248,Target,0.1691666666666667,0.014425945627860239
249,Target,0.1725,0.014425945627860239
250,Target,0.17416666666666666,0.014425945627860239
251,Target,0.17500000000000002,0.014425945627860239
252,Target,0.18000000000000002,0.014425945627860239
253,Target,0.18333333333333335,0.014425945627860239
254,Target,0.18666666666666668,0.014425945627860239
255,Target,0.18916666666666668,0.014425945627860239
256,Target,0.19083333333333333,0.014425945627860239
257,Target,0.19333333333333333,0.014425945627860239
258,Target,0.19666666666666666,0.014425945627860239
259,Target,0.19999999999999998,0.014425945627860239
260,Target,0.2025,0.014425945627860239
261,Target,0.2041666666666667,0.014425945627860239
262,Target,0.20583333333333334,0.014425945627860239
263,Target,0.2091666666666667,0.014425945627860239
264,Target,0.2125,0.014425945627860239
265,Target,0.21333333333333335,0.014425945627860239
266,Target,0.21583333333333332,0.014425945627860239
267,Target,0.21916666666666665,0.014425945627860239
268,Target,0.2225,0.014425945627860239
269,Target,0.22416666666666665,0.014425945627860239
270,Target,0.225,0.014425945627860239
